id;name;timezone;slug;postal_code;latitude;longitude;is_published;has_offers;country_id;message_title;message_content;message_link;image_name;image_size;created_at;updated_at;description
1;Strasbourg;Europe/Paris;strasbourg;67000;48,5834499;7,7458422;1;1;1;?? Confinement;Les prélèvements du club suspendus jusqu'à la reprise !;NULL;strasbourg-61ddd995c87ec2.94681286.jpg;588228;21/03/2021 15:31;11/01/2022 19:25;"<p>Sur Schlouk Map, <strong>on r&eacute;f&eacute;rence pr&egrave;s de 200 bars &agrave; Strasbourg</strong>. Gr&acirc;ce &agrave; notre appli, tu pourras donc <strong>trouver les meilleurs bars &agrave; Strasbourg</strong>, dans tous les quartiers super populaires. La Krutenau par exemple est connue pour les &eacute;tudiants o&ugrave; la place Saint-Nicolas aux ondes regroupe une bonne partie des meilleurs bars du quartier. &Eacute;videmment tu trouveras aussi les bars sympas proches de la place de l&rsquo;homme de fer, les bars du&nbsp;Neudorf ou encore les bars de pr&egrave;s de la place Saint-Etienne.</p>

<p>Ce qui est vraiment super cool c&rsquo;est que Schlouk Map a &eacute;t&eacute; cr&eacute;&eacute; &agrave; Strasbourg ! Et &ccedil;a, &ccedil;a fait la diff&eacute;rence. Les infos qui sont dans l&rsquo;appli sur<strong> les horaires et les tarifs des Happy Hours des bars &agrave; Strasbourg</strong> sont donc super fiables et tr&egrave;s compl&egrave;tes. En plus, gr&acirc;ce &agrave; Schlouk Map, tu peux aussi te g&eacute;olocaliser pour trouver les bars sympas les plus proches et m&ecirc;me filtrer les bars en fonction de tes envies comme jouer au baby-foot, trouver un flipper ou un billard dans un bar avec un Happy Hour. C&rsquo;est le moment d&rsquo;aller boire un coup, alors, comme on dit chez nous, S&rsquo;Gilt !</p>"
3;Paris;Europe/Paris;paris;75000;48,856614;2,3522219;1;1;1;?? Confinement;Prenez soin de vous, on vous envoie du love ??;NULL;paris-61ddd98c1506b3.33965733.jpg;515671;21/03/2021 15:31;11/01/2022 19:25;"<p>Chez Schlouk Map on est fans de Paris ! Dans cette sublime ville&nbsp;grande et peupl&eacute;e &ccedil;a peut &ecirc;tre parfois compliqu&eacute; de trouver les bars les plus cools et les moins chers. Bonne nouvelle, <strong>Schlouk Map r&eacute;f&eacute;rence plusieurs centaines de bars &agrave; Paris</strong>. Gr&acirc;ce &agrave; Schlouk Map, tu pourras donc trouver les meilleurs bars des quartiers populaires &agrave; Paris comme <strong>les bars proches de la place de la r&eacute;publique, les bars de la rue de la roquette, les bars de la rue amelot ou encore les bars du quartier latin.</strong></p>

<p>Et ce n&rsquo;est pas tout, Schlouk Map r&eacute;f&eacute;rence les bars &agrave; Paris mais aussi et surtout <strong>les horaires et les tarifs des Happy Hours &agrave; Paris</strong>. En t&eacute;l&eacute;chargeant notre appli, tu pourras donc trouver les bars avec des Happy Hours en temps r&eacute;el, les diff&eacute;rentes boissons propos&eacute;es dans les bars &agrave; Paris et aussi les services sp&eacute;cifiques que tu cherches dans les bars comme une terrasse, un flipper ou un billard. Pour la petite histoire, la bi&egrave;re la plus propos&eacute;e&nbsp;&agrave; Paris est la Stella si &ccedil;a te tente d&#39;essayer ! C&#39;est parti, <strong>sors&nbsp;ton appli et d&eacute;couvre&nbsp;tous&nbsp;les superbes bars &agrave; Paris</strong> !</p>"
4;Mulhouse;Europe/Paris;mulhouse;68100;47,749531;7,33975;1;0;1;NULL;NULL;NULL;NULL;NULL;21/03/2021 15:31;21/03/2021 15:31;NULL
5;Nice;Europe/Paris;nice;6000;43,697952;7,269591;1;0;1;NULL;NULL;NULL;NULL;NULL;21/03/2021 15:31;21/03/2021 15:31;NULL
6;Lyon;Europe/Paris;lyon;69000;45,764042;4,835659;1;0;1;NULL;NULL;NULL;lyon-61ddda7f8cbfa9.18324370.jpg;629772;21/03/2021 15:31;11/01/2022 19:29;"<p>Bienvenue &agrave; Lyon la ville lumi&egrave;re ! Sur Schlouk Map, tu trouveras <strong>plus de 300 bars &agrave; Lyon </strong>et &ccedil;a, c&rsquo;est vraiment trop sympa. La super bonne nouvelle c&rsquo;est que tu d&eacute;couvriras <strong>les bars des meilleurs quartiers de Lyon</strong> comme les bars des quais de Rh&ocirc;ne, les bars dans les pentes &agrave; Lyon, les bars aux brotteaux ou les bars de la presqu&rsquo;&icirc;le. Lyon est connue pour ses soir&eacute;es tr&egrave;s anim&eacute;es donc installer Schlouk Map te sera&nbsp;d&rsquo;une grande aide pour trouver les bars les plus sympas.</p>

<p>En plus de trouver les bars cools &agrave; Lyon, Schlouk Map te permet de conna&icirc;tre <strong>les horaires et le prix des boissons des Happy Hours &agrave; Lyon</strong>. Du coup, tu peux planifier une soir&eacute;e avec tes potes en fonction des Happy Hours et m&ecirc;me trouver les services propos&eacute;s par les bars comme savoir si le bar &agrave; un baby-foot, un billard o&ugrave; s&rsquo;il fait des concerts. <strong>Tu vas assur&eacute;ment passer une super soir&eacute;e dans les bars de Lyon en installant Schlouk Map.</strong></p>"
9;Bordeaux;Europe/Paris;bordeaux;33000;44,837788;-0,57918;1;0;1;NULL;NULL;NULL;bordeaux-621f1da58beca3.65811603.jpeg;764879;21/03/2021 15:31;02/03/2022 07:32;"<p>Bienvenue &agrave; Bordeaux ! Sur Schlouk Map tu peux d&eacute;couvrir <strong>plus de 200 bars &agrave; Bordeaux</strong> et &ccedil;a va t&rsquo;aider &agrave; passer de superbes soir&eacute;es. Tu peux trouver les bars des meilleurs quartier de la ville avec l&rsquo;appli, comme <strong>les bars proches de la place de la victoire, les bars du quartier Notre-Dame et les bar du quartier Saint-Pierre &agrave; Bordeaux</strong>.&nbsp;</p>

<p>Connue pour ses soir&eacute;es enflamm&eacute;es, Schlouk Map te seras d&rsquo;une grande aide pour trouver <strong>les meilleurs bars &agrave; Bordeaux</strong>. Et ce n&rsquo;est pas tout, car en plus de trouver les bar les plus sympas de Bordeaux, tu peux conna&icirc;tre&nbsp;<strong>en temps r&eacute;el les horaires, les tarifs et les diff&eacute;rentes boissons en Happy Hour dans les bars de Bordeaux</strong>. En plus, tu peux filtrer les bars de Bordeaux en fonction de ce qu&rsquo;ils proposent comme des concerts, des fl&eacute;chettes, des billards et bien d&rsquo;autres choses. Alors, pr&ecirc;ts &agrave; passer une soir&eacute;e de folie dans les bars de Bordeaux ?</p>"
10;Lille;Europe/Paris;lille;59000;50,6365654;3,0635282;1;0;1;NULL;NULL;NULL;NULL;NULL;21/03/2021 15:31;21/03/2021 15:31;NULL
11;Toulouse;Europe/Paris;toulouse;31000;43,6044622;1,4442469;1;0;1;NULL;NULL;NULL;NULL;NULL;21/03/2021 15:31;21/03/2021 15:31;NULL
12;Marseille;Europe/Paris;marseille;13000;43,296482;5,36978;1;0;1;NULL;NULL;NULL;NULL;NULL;21/03/2021 15:31;21/03/2021 15:31;NULL
13;Rouen;Europe/Paris;rouen;76000;49,442903;1,08843;1;0;1;NULL;NULL;NULL;NULL;NULL;21/03/2021 15:31;21/03/2021 15:31;NULL
