id;drink_id;place_id;standard_price;happy_price;quantity;position;created_at;updated_at
52;364;5;NULL;2;25;4900;12/01/2022 14:55;12/01/2022 14:55
53;222;5;NULL;2,8;25;4900;12/01/2022 14:55;12/01/2022 14:55
54;209;5;NULL;2,8;25;4900;12/01/2022 14:55;12/01/2022 14:55
55;259;5;NULL;2,8;25;4900;12/01/2022 14:55;12/01/2022 14:55
56;364;5;NULL;3,6;50;4900;12/01/2022 14:55;12/01/2022 14:55
57;222;5;NULL;5,6;50;4900;12/01/2022 14:55;12/01/2022 14:55
58;209;5;NULL;5,6;50;4900;12/01/2022 14:55;12/01/2022 14:55
59;259;5;NULL;5,6;50;4900;12/01/2022 14:55;12/01/2022 14:55
71;241;14;NULL;7,5;17;1177;12/01/2022 14:55;01/03/2022 10:56
72;186;15;NULL;2;NULL;4900;12/01/2022 14:55;12/01/2022 14:55
73;279;15;NULL;2,9;50;4900;12/01/2022 14:55;12/01/2022 14:55
74;138;15;NULL;4;50;4900;12/01/2022 14:55;12/01/2022 14:55
75;241;15;NULL;5,5;NULL;4900;12/01/2022 14:55;12/01/2022 14:55
76;243;15;NULL;5,5;NULL;4900;12/01/2022 14:55;12/01/2022 14:55
77;613;41;5,3;2,7;50;4900;12/01/2022 14:55;12/01/2022 14:55
78;346;41;NULL;3;50;4900;12/01/2022 14:55;12/01/2022 14:55
79;235;41;6,7;3,4;50;4900;12/01/2022 14:55;12/01/2022 14:55
80;164;41;6,9;3,5;50;4900;12/01/2022 14:55;12/01/2022 14:55
81;286;41;6,9;3,5;50;4900;12/01/2022 14:55;12/01/2022 14:55
82;93;41;6,9;3,5;50;4900;12/01/2022 14:55;12/01/2022 14:55
86;139;41;NULL;3,9;50;4900;12/01/2022 14:55;12/01/2022 14:55
87;758;41;8,1;4,1;50;4900;12/01/2022 14:55;12/01/2022 14:55
88;118;41;8,3;4,2;50;4900;12/01/2022 14:55;12/01/2022 14:55
89;942;41;8,3;4,2;50;4900;12/01/2022 14:55;12/01/2022 14:55
92;92;41;8,7;4,4;50;4900;12/01/2022 14:55;12/01/2022 14:55
103;276;23;NULL;4;50;593;12/01/2022 14:55;01/03/2022 13:18
104;276;23;NULL;7;100;597;12/01/2022 14:55;01/03/2022 13:18
122;32;29;5,4;4;50;-7;12/01/2022 14:55;11/02/2022 17:00
123;365;29;6,9;4,8;50;-7;12/01/2022 14:55;11/02/2022 17:00
124;222;29;7,2;5;50;4900;12/01/2022 14:55;11/02/2022 17:00
125;942;29;7,2;5;50;4900;12/01/2022 14:55;11/02/2022 17:00
126;136;29;7;4,9;50;4900;12/01/2022 14:55;11/02/2022 17:00
127;92;29;7,2;5;50;4900;12/01/2022 14:55;11/02/2022 17:00
128;224;29;7,6;5,2;50;4900;12/01/2022 14:55;11/02/2022 17:00
160;81;32;5,8;4;50;1183;12/01/2022 14:55;01/03/2022 10:55
161;164;32;7,6;4,5;50;1184;12/01/2022 14:55;01/03/2022 10:55
173;197;61;NULL;4;50;863;12/01/2022 14:55;01/03/2022 11:47
174;8;61;NULL;4,5;50;868;12/01/2022 14:55;01/03/2022 11:47
175;156;61;NULL;4,5;50;871;12/01/2022 14:55;01/03/2022 11:47
