id;place_id;user_id;created_at
4;379;3;06/02/2021 16:07
6;200;3;06/02/2021 16:16
10;147;3;06/02/2021 16:16
13;3942;23;07/02/2021 04:13
14;2803;23;07/02/2021 04:16
15;3910;23;07/02/2021 04:19
16;379;23;07/02/2021 07:47
17;200;23;07/02/2021 07:47
22;3970;19151;09/02/2021 23:03
30;497;1783;12/02/2021 07:59
32;3943;23;12/02/2021 16:48
33;3911;23;12/02/2021 16:48
34;3694;23;12/02/2021 16:49
35;1350;23;12/02/2021 16:49
36;18;23;12/02/2021 16:52
37;380;23;12/02/2021 16:53
39;142;9264;13/02/2021 11:52
40;45;9264;13/02/2021 11:52
41;46;9264;13/02/2021 11:52
42;537;16583;13/02/2021 19:20
57;41;2024;18/02/2021 15:11
61;1036;4723;21/02/2021 17:51
62;257;4723;21/02/2021 17:52
67;3272;6983;22/02/2021 14:22
68;276;19188;23/02/2021 15:53
70;186;19200;25/02/2021 22:56
71;29;19200;25/02/2021 22:56
72;777;9421;26/02/2021 14:46
73;260;3;26/02/2021 15:42
74;2854;23;26/02/2021 16:13
75;1101;19202;26/02/2021 20:58
76;1211;19202;26/02/2021 20:58
77;1153;19202;26/02/2021 20:58
79;18;6012;26/02/2021 21:13
81;1271;19202;27/02/2021 08:13
83;31;6917;01/03/2021 11:03
84;39;19207;01/03/2021 12:01
85;611;19209;01/03/2021 13:37
86;1036;9358;01/03/2021 13:50
87;27;9358;01/03/2021 13:51
88;380;9358;01/03/2021 13:51
89;120;70;01/03/2021 15:09
90;3919;70;01/03/2021 15:09
91;561;19209;01/03/2021 17:05
93;41;6012;01/03/2021 17:52
94;14;6012;01/03/2021 17:53
95;3910;13599;01/03/2021 18:25
97;908;12051;01/03/2021 19:47
99;19;1367;02/03/2021 07:39
101;2889;19217;02/03/2021 13:56
102;940;19218;02/03/2021 14:46
103;984;19218;02/03/2021 14:46
104;2753;19220;02/03/2021 16:20
105;2828;19220;02/03/2021 16:20
106;2842;19220;02/03/2021 16:21
107;2824;19220;02/03/2021 16:22
109;378;19222;02/03/2021 17:07
110;120;19225;02/03/2021 17:17
111;194;19225;02/03/2021 17:17
112;257;19225;02/03/2021 17:17
113;3947;19225;02/03/2021 17:17
114;27;19225;02/03/2021 17:17
115;380;19225;02/03/2021 17:17
116;41;19225;02/03/2021 17:18
117;38;19225;02/03/2021 17:18
118;29;19225;02/03/2021 17:18
119;19;19225;02/03/2021 17:18
120;37;19225;02/03/2021 17:18
121;154;19225;02/03/2021 17:19
122;39;19225;02/03/2021 17:20
123;268;19225;02/03/2021 17:20
124;361;19225;02/03/2021 17:21
125;384;19225;02/03/2021 17:21
126;2884;19225;02/03/2021 17:24
127;41;19222;02/03/2021 17:28
128;313;19234;02/03/2021 18:06
129;3652;19232;02/03/2021 18:08
130;27;19234;02/03/2021 18:08
131;18;19235;02/03/2021 18:09
132;120;19236;02/03/2021 18:13
134;120;19238;02/03/2021 19:15
135;120;19239;02/03/2021 19:25
136;138;19239;02/03/2021 19:26
137;268;19239;02/03/2021 19:26
138;379;19239;02/03/2021 19:26
139;257;19239;02/03/2021 19:26
140;3947;19239;02/03/2021 19:26
141;194;19239;02/03/2021 19:26
142;194;19240;02/03/2021 19:39
143;3652;19241;02/03/2021 19:45
144;65;19242;02/03/2021 19:59
145;50;19246;02/03/2021 20:30
146;45;19249;02/03/2021 20:58
147;2803;19248;02/03/2021 20:59
148;147;19249;02/03/2021 21:01
149;50;19250;02/03/2021 21:02
150;34;19250;02/03/2021 21:02
151;380;19250;02/03/2021 21:02
152;199;19250;02/03/2021 21:02
153;54;19250;02/03/2021 21:02
154;34;19249;02/03/2021 21:03
155;380;19249;02/03/2021 21:03
156;8;7409;02/03/2021 22:35
157;3;7409;02/03/2021 22:35
158;143;7409;02/03/2021 22:36
159;23;7409;02/03/2021 22:36
160;148;7409;02/03/2021 22:36
161;92;7409;02/03/2021 22:37
162;116;7409;02/03/2021 22:37
163;9;7409;02/03/2021 22:37
164;54;7409;02/03/2021 22:37
165;138;7409;02/03/2021 22:37
167;79;19261;03/03/2021 08:06
168;8;19261;03/03/2021 08:07
169;186;19261;03/03/2021 08:11
170;138;19261;03/03/2021 08:12
171;143;19261;03/03/2021 08:12
172;57;19261;03/03/2021 08:13
173;148;19261;03/03/2021 08:13
174;47;19261;03/03/2021 08:14
175;267;19262;03/03/2021 08:34
176;54;19262;03/03/2021 08:34
