id;rating_service;rating_atmosphere;rating_drinks;comment;created_at;place_id;user_id;updated_at
1;5;5;5;;09/07/2019 19:38;45;3;NULL
2;3;5;5;;15/07/2019 23:36;147;36;NULL
3;5;5;5;Le meilleur de la bière locale, et toujours bien conseillée ! Le meilleur des bars pour les amoureux de la bière !;15/07/2019 23:40;50;36;NULL
4;1;3;1;L’emplacement idéal du bar ne suffit pas à compenser le manque de sympathie des serveurs... dommage !;15/07/2019 23:42;60;36;NULL
5;5;5;5;"On vient pour la décoration, mais on revient pour leurs frites ?? 
Les amoureux du vintage et du formica y trouveront leur paradis !";15/07/2019 23:44;83;36;NULL
6;4;3;4;;19/07/2019 13:44;97;1830;NULL
7;5;5;4;;22/07/2019 12:03;187;1856;NULL
8;2;5;1;;26/07/2019 14:01;60;1898;NULL
9;5;5;5;;29/07/2019 00:41;78;1861;NULL
10;5;5;5;;30/07/2019 18:45;186;3;NULL
11;4;3;5;;01/08/2019 16:26;167;1939;NULL
12;5;4;3;;01/08/2019 16:27;233;1939;NULL
13;5;5;4;;05/08/2019 19:02;14;1980;NULL
14;5;5;5;;09/08/2019 18:21;199;2032;NULL
15;5;5;5;Un très grand choix de super bières, belles assiettes de fromage et charcuterie. Touhours une super ambiance, un beau cadre, et souvent des évènements!;10/08/2019 23:07;186;2049;NULL
16;5;5;5;;13/08/2019 14:40;358;2067;NULL
17;5;5;5;;13/08/2019 21:14;3;2073;NULL
18;5;4;5;;13/08/2019 21:14;32;2073;NULL
19;5;5;5;;13/08/2019 21:17;104;2073;NULL
20;5;5;5;;16/08/2019 16:48;200;23;NULL
21;5;5;5;;16/08/2019 16:50;45;23;NULL
22;4;5;5;;16/08/2019 16:50;54;23;NULL
23;3;5;5;;16/08/2019 16:54;148;23;NULL
24;5;5;4;;16/08/2019 16:55;191;23;NULL
25;5;5;5;;16/08/2019 16:55;198;23;NULL
26;5;5;5;;16/08/2019 16:56;268;23;NULL
27;5;5;5;;17/08/2019 03:39;187;2077;NULL
28;5;5;5;;17/08/2019 23:35;7;188;NULL
29;5;5;5;;18/08/2019 20:35;3;24;NULL
30;1;4;3;;18/08/2019 20:35;9;24;NULL
32;5;5;3;;18/08/2019 20:36;19;24;NULL
33;3;3;2;;18/08/2019 20:36;41;24;NULL
34;2;4;2;"Après le Caupona c'est la 2ème fois que ma femme et moi, nous nous faisons arnaquer ( en happy hours, 10€ les 2 Dorelei au lieu de 7€ au Caupona et sans note et 8€ les 2 BPM 88 au lieu de 6€ et toujours sans facture au Public House, même patron et même arnaque. Nous irons voir ailleurs ou plutôt nous iront boire ailleurs. Ca suffit. Les dégâts commerciaux sont importants car les gens n'écrivent pas mais ne reviennent jamais. Y a assez de bars sympas à Strasbourg pour ne pas avoir à subir ces malversations, d'autant que ma femme et moi sommes jeunes retrait?s, solvables et clients réguliers et fidèles. Un bon profil. Boss reprenez la main sur vos troupes.
Pascal et Nicole Duthey";21/08/2019 19:07;35;2150;NULL
