id;name;details;type;created_at;updated_at
7;1664 Blanche;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
8;1664 Blonde;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
9;3 Monts;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
10;Abbaye;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
11;Aberlour 10 ans;NULL;aperitif;12/01/2022 14:55;12/01/2022 14:55
12;Ackerland Blonde;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
13;Affligem;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
14;Affligem Fruits Rouges;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
15;Affligem Triple;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
16;Bière ambrée;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
17;Americano;NULL;cocktail;12/01/2022 14:55;12/01/2022 14:55
18;Ancre;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
19;Ancre Pils;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
20;AOP Corbières;NULL;wine;12/01/2022 14:55;12/01/2022 14:55
21;Apérol Spritz;NULL;cocktail;12/01/2022 14:55;12/01/2022 14:55
22;Ardèche Rosé;NULL;wine;12/01/2022 14:55;12/01/2022 14:55
23;Arteweld Ambrée;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
26;Astroblonde;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
27;Autre bière;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
28;B-Beer;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
29;Bacardi;NULL;aperitif;12/01/2022 14:55;12/01/2022 14:55
30;Barbar;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
31;Barbar Bok;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
32;Bel Pils;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
34;Belzebuth Blanche;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
35;Bendorf;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
36;Benediktiner Blanche;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
37;Bergerac;NULL;wine;12/01/2022 14:55;12/01/2022 14:55
41;La Bête des Vosges;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
42;Bière;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
43;Bière blanche;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
44;Bière blonde;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
45;Bière bouteille;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
46;Bière de Noël;NULL;beer;12/01/2022 14:55;12/01/2022 14:55
