id;name;street_address;latitude;longitude;phone;email;website;facebook;slug;opening_hours_monday;opening_hours_tuesday;opening_hours_wednesday;opening_hours_thursday;opening_hours_friday;opening_hours_saturday;opening_hours_sunday;opening_hours_description;happy_hours_monday;happy_hours_tuesday;happy_hours_wednesday;happy_hours_thursday;happy_hours_friday;happy_hours_saturday;happy_hours_sunday;happy_hours_description;is_published;is_closed;created_at;updated_at;has_free_wifi;has_air_conditioning;has_television;has_darts;has_foosball;has_pinball;has_pool;has_terrace;has_handicap_access;city_id;postal_code;has_food;offers_description;has_dog_policy;has_board_games;has_live_music;has_dj_set;instagram;description;offers_slogan;capacity_inside;capacity_outside;is_claimed;has_offers;has_take_away;premium_hours_monday;premium_hours_tuesday;premium_hours_wednesday;premium_hours_thursday;premium_hours_friday;premium_hours_saturday;premium_hours_sunday;public_transports_updated_at;secret_key
3;Au Brasseur;22 Rue des Veaux;48,582573;7,755416;33388361213;aubrasseur67@orange.fr;http://www.aubrasseur.fr/;https://www.facebook.com/aubrasseur;au-brasseur;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/00:00;NULL;17:00/19:00-22:00/23:00;17:00/19:00-22:00/23:00;17:00/19:00-22:00/23:00;17:00/19:00-22:00/23:00;NULL;17:00/19:00-22:00/23:00;17:00/19:00-22:00/23:00;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;0;1;1;0;0;0;0;1;1;1;67000;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:57;fcb0e68555a9f507ebbbc734e69cd7c3
4;Exils;28 Rue de l'Ail;48,579913;7,748596;33388325270;NULL;http://barexils.com/;https://www.facebook.com/barexils;exils;14:00/04:00;14:00/04:00;14:00/04:00;14:00/04:00;14:00/04:00;14:00/04:00;12:00/04:00;NULL;18:00/20:30;18:00/20:30;18:00/20:30;18:00/20:30;18:00/20:30;18:00/20:30;18:00/20:30;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;NULL;1;1;1;0;1;1;1;NULL;1;67000;1;Les offres sont valables du dimanche au jeudi toute la journée hors événements spéciaux et veilles de jours fériés.;NULL;NULL;NULL;NULL;NULL;"L'Exils n'est pas loin de fêter sa trentième bougie ! C'est donc un des bars les plus vieux de la ville (peut-être même LE plus vieux). 
Et ça tombe bien, ils n'ont pas changé ! Certains des barmans sont là depuis plus d'une décennie et l'ambiance est toujours la même : chaleureuse et bondée. 
L'Exils est connu pour ses bonnes bières, ses cocktails géants à partager  (1 litre avec 5 pailles !) et aussi ses grosses soirées foot (ils en sont fans !). 
Ambiance assurée tous les jours et à toute heure.";-7€ sur les cocktails géants;NULL;NULL;1;1;NULL;14:00/04:00;14:00/04:00;14:00/04:00;14:00/04:00;NULL;NULL;20:00/02:00;15/03/2022 18:58;c31306aebfc6ebb0b9bbc7fe864711ec
5;Au Fût et à Mesure;25 Rue des Tonneliers;48,580569;7,748786;33369573230;strasbourg@aufut.fr;http://www.aufutetamesure.fr/;https://www.facebook.com/aufut.strasbourg/;au-fut-et-a-mesure;17:00/00:00;17:00/00:00;17:00/00:00;17:00/01:30;17:00/01:30;17:00/01:30;16:00/00:00;NULL;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;NULL;NULL;NULL;1;1;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;18c99087c066bd8acd5301e9dabeb8c1
6;Happy Hours;7 bis Rue de l'Abreuvoir;48,579225;7,760233;33388241970;NULL;http://www.barhappyhours.fr/;https://www.facebook.com/happyhours.bar.9;happy-hours;11:30/01:30;11:30/01:30;11:30/01:30;11:30/01:30;11:30/01:30;17:00/01:30;17:00/01:30;NULL;15:00/20:00;15:00/20:00;15:00/20:00;15:00/20:00;15:00/20:00;17:00/20:00;17:00/20:00;NULL;1;1;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;b583df10e395a6d590ad7f8713fe26af
7;La Mandragore;1 Rue de la Grange;48,58305;7,74417;33388223871;NULL;NULL;https://www.facebook.com/lamandragore.bar;la-mandragore;NULL;15:00/01:00;15:00/01:00;15:00/01:00;15:00/01:00;15:00/01:00;16:00/00:00;NULL;NULL;19:00/01:00;NULL;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;75cd51f8cea1129bddb2387460e08244
8;Académie de la Bière Cathédrale;29 Rue des Juifs;48,584119;7,753315;33388351825;drink@academie-de-la-biere.fr;NULL;https://www.facebook.com/Aca.cathe;academie-de-la-biere-cathedrale;11:00/01:30;11:00/01:30;11:00/01:30;11:00/04:00;11:00/04:00;11:00/04:00;11:00/01:30;NULL;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;1;1;0;0;0;0;1;0;1;67000;1;NULL;1;0;0;0;NULL;NULL;NULL;NULL;NULL;0;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;688625583e53bad8d625a056cb37750d
9;Académie de la Bière Petite France;17 Rue Adolphe Seyboth;48,581672;7,739045;33388223888;NULL;NULL;https://www.facebook.com/aca.petite.france;academie-de-la-biere-petite-france;11:00/04:00;11:00/04:00;11:00/04:00;11:00/04:00;11:00/04:00;11:00/04:00;11:00/04:00;NULL;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;17:00/19:00;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;0;0;0;0;0;0;1;1;1;67000;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;11cabf4ce4488f66cea0fb2af10dc8b9
10;Café Atlantico;Quai des Pêcheurs;48,583129;7,757637;33388357781;contact@cafe-atlantico.net;NULL;https://www.facebook.com/cafeatlanticostrasbourg;cafe-atlantico;07:00/01:30;07:00/01:30;07:00/01:30;07:00/01:30;07:00/01:30;07:00/01:30;07:00/01:30;NULL;NULL;NULL;18:00/22:00;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;0;0;0;0;0;0;1;0;1;NULL;1;NULL;1;NULL;0;0;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;723f6496ec1d31b4376307d1be24dc1f
11;Barco Latino;Presqu'île André-Malraux, Angle passerelle Giacometti;48,574005;7,76106;33388235906;contact@barcolatino.fr;http://www.barcolatino.fr/;https://www.facebook.com/barcostrasbourg/;barco-latino;NULL;NULL;18:00/04:00;18:00/04:00;18:00/04:00;18:00/04:00;18:00/01:30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;4378c4b07483a587574f87443a2b4ba4
12;Café du TNS;1 Avenue de la Marseillaise;48,58601;7,755456;33388248861;NULL;NULL;https://www.facebook.com/CafeTNS;cafe-du-tns;08:00/23:00;08:00/23:00;08:00/23:00;08:00/23:00;08:00/23:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;1;0;0;0;0;0;1;NULL;1;67000;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;24fd4b16931536488213d2c17923d558
