"place_id","place_type_id"
"3","1"
"4","1"
"4","5"
"4","25"
"10","23"
"11","23"
"13","30"
"13","32"
"18","1"
"18","4"
"18","42"
"23","1"
"24","23"
"27","1"
"29","1"
"31","11"
"34","36"
"39","1"
"44","43"
"45","1"
"45","4"
"46","1"
"50","1"
"51","1"
"51","4"
"51","25"
"53","9"
"59","4"
"65","1"
"65","4"
"77","14"
"79","5"
"91","43"
"93","4"
"93","7"
"93","25"
"95","32"
"97","26"
"99","22"
"112","28"
"112","32"
"115","5"
"115","9"
"115","10"
"120","1"
"120","4"
"129","8"
"129","34"
"134","39"
"138","5"
"139","4"
"141","10"
"142","5"
"143","29"
"144","4"
"144","43"
"148","1"
"152","4"
"155","5"
"158","5"
"162","5"
"164","1"
"164","5"
"164","43"
"166","50"
"169","5"
"169","32"
"170","5"
"171","5"
"186","1"
"186","18"
"189","10"
"198","9"
"198","54"
"200","5"
"204","1"
"215","14"
"215","20"
"215","30"
"223","1"
"223","5"
"223","52"
"226","1"
"226","4"
"231","4"
"236","2"
"240","1"
"244","4"
"244","5"
"244","32"
"244","35"
"245","4"
"247","5"
"251","4"
"257","1"
"257","4"
"260","5"
"261","1"
"264","4"
"267","1"
"267","4"
"268","1"
"268","4"
"268","18"
"272","2"
"274","33"
"280","45"
"297","4"
"303","4"
"304","4"
"308","10"
"312","1"
"312","4"
"313","4"
"329","1"
"330","10"
"343","2"
"343","8"
"348","1"
"348","5"
"348","7"
"354","5"
"354","7"
"354","9"
"354","10"
"354","26"
"357","8"
"361","10"
"362","1"
"366","2"
"367","4"
"368","4"
"368","56"
"370","4"
"370","10"
"371","1"
"377","1"
"377","4"
"377","18"
"378","1"
"379","2"
"380","1"
"382","4"
"384","10"
"386","44"
"391","1"
"391","43"
"392","6"
"393","1"
"394","1"
"398","5"
"404","42"
"405","4"
"409","1"
"409","43"
"410","4"
"415","4"
"422","14"
"423","5"
"423","21"
"424","7"
"427","17"
"428","33"
"431","2"
"432","2"
"434","17"
"435","4"
"436","17"
"441","4"
"442","15"
"445","5"
"448","1"
"449","1"
"454","1"
"455","1"
"456","5"
"458","43"
"459","17"
"461","5"
"462","2"
"463","5"
"466","1"
"467","1"
"468","17"
"470","4"
"472","5"
"473","4"
"474","1"
"474","9"
"476","4"
"479","17"
"481","10"
"482","9"
"483","4"
"492","2"
"497","1"
"497","20"
"500","4"
"503","1"
"508","20"
"509","2"
"510","6"
"517","34"
"524","34"
"525","5"
"526","1"
"526","5"
"527","12"
"530","52"
"534","15"
"534","17"
"535","4"
"537","28"
"538","34"
"539","16"
"542","1"
"544","4"
"547","1"
"547","4"
"551","35"
"552","10"
"554","17"
"555","5"
"557","18"
"557","37"
"558","1"
"560","4"
"561","5"
"563","1"
"563","25"
"566","5"
"569","2"
"572","5"
"574","17"
"576","12"
"577","20"
"578","4"
"588","7"
"590","17"
"591","7"
"593","5"
"598","1"
"611","4"
"611","30"
"612","7"
"620","5"
"621","6"
"623","5"
"624","4"
"631","1"
"631","32"
"633","2"
"635","1"
