id;user_id;place_id;first_checkin_at;last_checkin_at;count_checkins;created_at;deleted_at;visited_at;updated_at
1;4805;200;11/03/2020 23:47;11/03/2020 23:47;1;12/03/2020 12:42;NULL;11/03/2020 23:47;12/03/2020 12:42
2;5855;200;11/03/2020 21:29;11/03/2020 23:43;3;12/03/2020 12:42;NULL;11/03/2020 21:29;12/03/2020 12:42
3;6351;380;11/03/2020 23:42;11/03/2020 23:42;1;12/03/2020 12:42;NULL;11/03/2020 23:42;12/03/2020 12:42
4;5559;200;11/03/2020 21:21;11/03/2020 23:42;3;12/03/2020 12:42;NULL;11/03/2020 21:21;12/03/2020 12:42
5;6077;362;11/03/2020 23:17;11/03/2020 23:17;1;12/03/2020 12:42;NULL;11/03/2020 23:17;12/03/2020 12:42
6;6255;39;11/03/2020 20:32;11/03/2020 20:32;1;12/03/2020 12:42;NULL;11/03/2020 20:32;12/03/2020 12:42
7;4628;231;11/03/2020 19:17;11/03/2020 19:17;1;12/03/2020 12:42;NULL;11/03/2020 19:17;12/03/2020 12:42
8;1125;186;10/03/2020 22:20;10/03/2020 22:21;2;12/03/2020 12:42;NULL;10/03/2020 22:20;12/03/2020 12:42
9;4709;18;10/03/2020 21:37;10/03/2020 21:37;1;12/03/2020 12:42;NULL;10/03/2020 21:37;12/03/2020 12:42
10;4220;4;10/03/2020 20:56;10/03/2020 20:56;1;12/03/2020 12:42;NULL;10/03/2020 20:56;12/03/2020 12:42
11;6077;39;10/03/2020 19:51;10/03/2020 19:51;1;12/03/2020 12:42;NULL;10/03/2020 19:51;12/03/2020 12:42
12;6351;268;10/03/2020 18:08;10/03/2020 18:08;1;12/03/2020 12:42;NULL;10/03/2020 18:08;12/03/2020 12:42
13;6043;4;09/03/2020 21:31;09/03/2020 21:31;1;12/03/2020 12:42;NULL;09/03/2020 21:31;12/03/2020 12:42
14;6077;39;09/03/2020 20:35;09/03/2020 20:35;1;12/03/2020 12:42;NULL;09/03/2020 20:35;12/03/2020 12:42
15;6657;18;08/03/2020 21:42;08/03/2020 21:42;1;12/03/2020 12:42;NULL;08/03/2020 21:42;12/03/2020 12:42
